Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Xiphi,62014505,36,22,0,Yes,9690936,9590936,3,0,,Yes,10590936,9590936,4,0,,Yes,10841014,9591014,5,0,8,Yes,9880982,9630982,2,0,2,Yes,10842072,9655822,4,0,4,Yes,10168565,9664815,2,0,3
Josh,36633432,13,20,0,Yes,9164099,8264099,7,0,,Yes,9264479,8264479,5,0,,Yes,9588229,8264479,6,1,6,Yes,8616625,8275375,3,0,2,No,0,0,0,0,0,No,0,0,0,0,0
Ashaman,52354356,2,9,0,Yes,8547266,8547266,0,0,,Yes,9051323,8551323,3,0,,Yes,9051323,8551323,3,1,5,Yes,8567582,8567582,0,0,0,Yes,8568089,8568089,0,0,0,Yes,8568773,8568773,0,0,0
Daemon Blackfyre,47419946,3,20,0,Yes,10093650,8893650,8,0,,Yes,9397906,8897906,3,0,,Yes,9239156,8897906,1,0,0,Yes,9280242,8905242,6,0,2,Yes,9408992,8905242,3,0,6,No,0,0,0,0,0
Lilsmexy,33618295,1,4,0,Yes,6803945,6603945,1,0,,Yes,6608744,6608744,0,0,,Yes,6858744,6608744,1,0,0,Yes,6733744,6608744,1,0,1,No,0,0,0,0,1,Yes,6613118,6613118,1,0,0
Anraeth Erith USM,45163961,4,18,0,Yes,10204701,8404701,9,0,,Yes,8405461,8405461,0,0,,Yes,9307215,8407215,4,0,6,Yes,8601811,8601811,0,0,0,Yes,8644773,8644773,0,0,0,No,0,0,0,0,0
Calaveylon Kwai,27464186,1,24,0,Yes,9510393,8010393,7,0,,No,0,0,0,0,,Yes,9942893,8010393,7,0,12,Yes,8010900,8010900,1,0,0,No,0,0,0,0,0,No,0,0,0,0,0
Vega,54040063,1,24,0,Yes,10254731,8454731,9,0,,Yes,9464906,8464906,4,0,,Yes,8497677,8497677,0,0,0,Yes,8499051,8499051,0,0,0,Yes,8824250,8499250,2,0,0,Yes,8499448,8499448,2,0,2
Ivanian,59481338,33,47,0,Yes,10357345,8457345,10,0,,Yes,9586854,8461854,7,0,,Yes,10504923,8477423,7,0,0,Yes,9168612,8486112,4,0,13,Yes,10356047,8487297,5,0,10,Yes,9507557,8500057,4,0,6
StevoZeMole,47806932,39,13,0,Yes,11076286,9176286,9,0,,Yes,9176408,9176408,0,0,,Yes,9178306,9178306,0,0,0,Yes,9185918,9185918,0,0,0,Yes,9190014,9190014,0,0,0,No,0,0,0,0,0
MiniJdduke,39505344,5,27,0,Yes,10834346,8734346,9,0,,Yes,9484369,8734369,6,0,,Yes,9759203,8735453,2,0,0,Yes,9427426,8744926,2,0,3,No,0,0,0,0,4,No,0,0,0,0,0
Sylar,50132908,55,0,0,Yes,9997139,9997139,0,0,,Yes,9998050,9998050,0,0,,Yes,10002557,10002557,0,1,0,Yes,10000099,10000099,0,0,0,Yes,10002309,10002309,0,0,0,No,132754,132754,0,0,0
EmperorArteta,68144280,6,55,0,Yes,11617610,9917610,10,0,,Yes,11050918,9800918,5,0,,Yes,12174524,9800774,8,1,10,Yes,10744036,9811536,6,0,9,Yes,11354809,9843559,6,0,6,Yes,11202383,9853633,5,0,8
